loan_id,age,gender,education,employment_status,employment_years,dependents,applicant_income,coapplicant_income,total_income,loan_amount,loan_term_months,credit_score,existing_emis,monthly_obligations,dti_ratio,collateral_value,loan_to_value,property_area,loan_status
LN000001,59,Male,Graduate,Salaried,7.0,1,21442,0.0,21442,66595,84,598.0,0,0,0.4432,36281.0,1.8355,Semiurban,Rejected
LN000002,49,Male,Graduate,Salaried,8.0,4,50112,0.0,50112,229675,12,626.0,3,15545,8.3056,180178.0,1.2747,Semiurban,Rejected
LN000003,35,Female,Not Graduate,Self-Employed,2.0,1,65981,0.0,65981,324608,180,665.0,0,0,0.3279,334218.0,0.9712,Semiurban,Approved
LN000004,63,Male,Graduate,Self-Employed,1.0,0,56997,0.0,56997,270501,120,752.0,1,8810,2.3294,475045.0,0.5694,Urban,Approved
LN000005,28,Male,Not Graduate,Salaried,12.0,1,14983,16792.0,31775,103340,60,626.0,2,20389,8.3503,249374.0,0.4144,Rural,Rejected
LN000006,41,Male,Graduate,Salaried,13.0,0,53819,33465.0,87284,275022,36,629.0,0,0,1.0502,539941.0,0.5094,Urban,Rejected
LN000007,59,Male,Not Graduate,Business,14.0,2,70183,0.0,70183,172037,240,745.0,1,9558,1.7567,324745.0,0.5298,Rural,Rejected
LN000008,39,Female,Not Graduate,Salaried,9.0,2,38943,0.0,38943,110220,60,629.0,2,6334,2.5178,159433.0,0.6913,Rural,Rejected
LN000009,43,Male,Not Graduate,Self-Employed,10.0,0,42750,0.0,42750,201384,120,710.0,1,5460,2.0036,437215.0,0.4606,Semiurban,Rejected
LN000010,31,Male,Graduate,Salaried,13.0,3,16572,37523.0,54095,244262,240,,0,0,0.2256,129766.0,1.8823,Urban,Rejected
LN000011,31,Female,Graduate,Salaried,10.0,1,25195,22730.0,47925,96552,360,648.0,2,21579,5.4703,108040.0,0.8937,Urban,Rejected
LN000012,44,Female,Graduate,Salaried,2.0,0,54257,3279.0,57536,157722,120,769.0,0,0,0.2741,312320.0,0.505,Semiurban,Approved
LN000013,56,Female,Graduate,Self-Employed,6.0,0,94876,42886.0,137762,486646,120,525.0,0,0,0.3532,943812.0,0.5156,Urban,Approved
LN000014,60,Male,Graduate,Salaried,7.0,3,48293,0.0,48293,91309,240,644.0,1,3465,0.9554,185205.0,0.493,Semiurban,Rejected
LN000015,44,Male,Not Graduate,Salaried,5.0,1,51312,19094.0,70406,192316,36,553.0,1,8728,2.3981,374385.0,0.5137,Rural,Rejected
LN000016,23,Female,Graduate,Salaried,9.0,3,64874,27395.0,92269,327264,240,690.0,0,0,0.1773,365997.0,0.8942,Rural,Approved
LN000017,42,Male,Graduate,Unemployed,0.0,0,18162,,45862,141291,84,699.0,2,13992,4.1012,326571.0,0.4327,Semiurban,Rejected
LN000018,22,Female,Graduate,Unemployed,0.0,0,12958,0.0,12958,58626,120,528.0,0,0,0.4519,127607.0,0.4594,Rural,Rejected
LN000019,44,Male,Graduate,Business,10.0,2,56050,0.0,56050,200668,360,627.0,3,32932,7.1698,213036.0,0.9419,Urban,Rejected
LN000020,64,Male,Not Graduate,Unemployed,0.0,2,5000,0.0,5000,19245,360,509.0,0,0,0.1272,44390.0,0.4335,Rural,Rejected
LN000021,50,Female,Not Graduate,Salaried,3.0,1,40946,,40946,137008,120,659.0,0,0,0.3344,108921.0,1.2579,Urban,Approved
LN000022,58,Female,Not Graduate,Unemployed,0.0,3,10871,0.0,10871,28052,84,695.0,0,0,0.3676,37446.0,0.7491,Urban,Rejected
LN000023,22,Female,Not Graduate,Salaried,16.0,0,79254,0.0,79254,283515,36,716.0,2,16900,3.7512,603430.0,0.4698,Urban,Approved
LN000024,41,Male,Graduate,Salaried,11.0,3,49971,40882.0,90853,453616,36,732.0,3,14281,3.5505,891117.0,0.509,Urban,Approved
LN000025,53,Male,Graduate,Salaried,11.0,2,43098,36649.0,79747,175625,180,695.0,2,11128,1.8212,204910.0,0.8571,Semiurban,Rejected
LN000026,32,Female,Graduate,Unemployed,0.0,0,5558,0.0,5558,22415,180,573.0,3,15823,34.4304,48525.0,0.4619,Rural,Rejected
LN000027,42,Female,Graduate,Self-Employed,0.0,2,57195,34716.0,91911,366921,120,687.0,1,6933,1.3043,251318.0,1.46,Urban,Rejected
LN000028,64,Male,Graduate,Self-Employed,12.0,3,86290,0.0,86290,365099,60,702.0,0,0,0.8461,758416.0,0.4814,Semiurban,Approved
LN000029,45,Male,Not Graduate,Unemployed,0.0,2,8969,19388.0,28357,85961,12,685.0,2,14458,9.1495,161951.0,0.5308,Urban,Rejected
LN000030,47,Male,Graduate,Self-Employed,4.0,1,22854,12771.0,35625,54775,84,581.0,0,0,0.2196,55495.0,0.987,Urban,Rejected
LN000031,62,Female,Graduate,Self-Employed,5.0,1,33565,0.0,33565,156561,180,700.0,0,0,0.3107,390021.0,0.4014,Urban,Approved
LN000032,48,Female,Not Graduate,Salaried,0.0,2,19646,18922.0,38568,92667,240,826.0,1,9098,2.9508,180730.0,0.5127,Rural,Approved
LN000033,36,Female,Graduate,Business,11.0,3,52491,0.0,52491,152407,240,811.0,1,3407,0.924,340836.0,0.4472,Semiurban,Approved
LN000034,35,Male,Graduate,Unemployed,0.0,2,5000,0.0,5000,22034,180,746.0,2,11639,28.2264,22527.0,0.9781,Semiurban,Rejected
LN000035,64,Female,Graduate,Unemployed,0.0,2,12747,0.0,12747,58021,360,607.0,1,10411,9.9525,115938.0,0.5004,Semiurban,Rejected
LN000036,23,Male,Not Graduate,Salaried,3.0,0,50289,0.0,50289,196504,240,568.0,3,13592,3.4385,117345.0,1.6746,Rural,Rejected
LN000037,57,Male,Graduate,Salaried,17.0,3,62644,0.0,62644,190376,240,592.0,2,22034,4.3727,474657.0,0.4011,Semiurban,Rejected
LN000038,27,Female,Not Graduate,Salaried,0.0,0,39241,0.0,39241,147399,12,665.0,0,0,3.7562,80037.0,1.8416,Semiurban,Rejected
LN000039,41,Male,Graduate,Salaried,1.0,2,38977,0.0,38977,117347,24,730.0,2,18145,7.0916,112211.0,1.0458,Semiurban,Rejected
LN000040,29,Male,Not Graduate,Salaried,4.0,0,45182,0.0,45182,100225,240,718.0,2,8623,2.401,152383.0,0.6577,Semiurban,Approved
LN000041,59,Male,Graduate,Self-Employed,11.0,1,40936,11243.0,52179,139994,84,614.0,2,17198,4.3383,155734.0,0.8989,Urban,Rejected
LN000042,38,Male,Graduate,Business,10.0,2,34913,25817.0,60730,219519,84,591.0,2,21335,4.732,523495.0,0.4193,Urban,Rejected
LN000043,24,Female,Graduate,Business,13.0,2,43917,9743.0,53660,96595,84,593.0,0,0,0.257,160259.0,0.6027,Rural,Rejected
LN000044,45,Female,Graduate,Salaried,1.0,3,49123,0.0,49123,77334,240,597.0,0,0,0.0787,96833.0,0.7986,Urban,Rejected
LN000045,34,Female,Graduate,Salaried,20.0,0,53756,0.0,53756,81521,180,755.0,1,7629,1.8039,125300.0,0.6506,Semiurban,Approved
LN000046,29,Female,Graduate,Salaried,0.0,0,75849,0.0,75849,143548,24,594.0,0,0,0.9462,146708.0,0.9785,Semiurban,Rejected
LN000047,46,Female,Graduate,Salaried,1.0,4,24595,0.0,24595,48696,240,721.0,1,7077,3.5515,92935.0,0.524,Rural,Rejected
LN000048,22,Male,Graduate,Salaried,0.0,0,23927,20476.0,44403,171662,120,459.0,1,6213,2.0655,399635.0,0.4295,Urban,Rejected
LN000049,40,Male,Graduate,Salaried,19.0,2,11441,0.0,11441,33366,240,672.0,0,0,0.1458,70097.0,0.476,Semiurban,Approved
LN000050,48,Female,Graduate,Unemployed,0.0,4,10775,0.0,10775,17847,360,575.0,2,10185,11.3975,13051.0,1.3675,Semiurban,Rejected
LN000051,27,Male,Graduate,Salaried,17.0,3,48102,60273.0,108375,234154,180,415.0,1,3502,0.5317,440386.0,0.5317,Semiurban,Rejected
LN000052,64,Female,Not Graduate,Self-Employed,6.0,1,39203,0.0,39203,129082,180,526.0,2,22859,7.2166,138133.0,0.9345,Semiurban,Rejected
LN000053,28,Male,Not Graduate,Self-Employed,5.0,2,16865,0.0,16865,61964,84,637.0,0,0,0.5244,35688.0,1.7363,Semiurban,Rejected
LN000054,55,Female,Graduate,Self-Employed,3.0,1,104995,3297.0,108292,536030,180,709.0,0,0,0.3299,686124.0,0.7812,Rural,Approved
LN000055,34,Female,Not Graduate,Self-Employed,2.0,1,64068,0.0,64068,212438,240,707.0,0,0,0.1658,299304.0,0.7098,Urban,Approved
LN000056,37,Male,Graduate,Business,9.0,0,30990,24615.0,55605,106560,84,769.0,1,11606,2.7783,57799.0,1.8436,Urban,Approved
LN000057,56,Male,Not Graduate,Self-Employed,10.0,3,45981,23972.0,69953,263479,84,592.0,0,0,0.538,576587.0,0.457,Rural,Rejected
LN000058,60,Female,Graduate,Business,10.0,0,171671,0.0,171671,621793,36,667.0,0,0,1.2073,1483074.0,0.4193,Urban,Approved
LN000059,24,Male,Graduate,Salaried,4.0,2,54226,17556.0,71782,193809,240,744.0,2,18120,3.1641,279608.0,0.6931,Semiurban,Approved
LN000060,22,Male,Graduate,Salaried,11.0,2,35070,0.0,35070,133465,180,760.0,2,19792,7.0258,85490.0,1.5612,Semiurban,Rejected
LN000061,26,Female,Graduate,Business,25.0,1,41751,0.0,41751,198493,120,717.0,0,0,0.4754,359035.0,0.5529,Urban,Approved
LN000062,62,Male,Graduate,Salaried,11.0,0,60424,0.0,60424,94855,180,742.0,1,6834,1.4617,64198.0,1.4775,Urban,Rejected
LN000063,24,Female,Graduate,Self-Employed,8.0,2,19289,51380.0,70669,157112,180,660.0,1,6749,1.2941,348319.0,0.4511,Semiurban,Approved
LN000064,49,Male,Graduate,Self-Employed,6.0,1,67484,0.0,67484,129195,60,641.0,0,0,0.3828,296306.0,0.436,Urban,Approved
LN000065,38,Male,Not Graduate,Salaried,5.0,2,47233,31174.0,78407,311167,180,,3,17085,2.8793,757154.0,0.411,Semiurban,Rejected
LN000066,46,Female,Graduate,Self-Employed,10.0,0,82576,0.0,82576,314942,180,578.0,0,0,0.2542,189591.0,1.6612,Semiurban,Approved
LN000067,64,Male,Graduate,Business,24.0,0,102487,0.0,102487,187334,180,670.0,0,0,0.1218,156232.0,1.1991,Semiurban,Approved
LN000068,54,Male,Not Graduate,Business,10.0,0,104929,0.0,104929,207149,84,529.0,1,4754,0.8257,351159.0,0.5899,Urban,Rejected
LN000069,30,Male,Graduate,Self-Employed,4.0,0,63438,21696.0,85134,381620,36,744.0,1,9199,2.7908,378382.0,1.0086,Urban,Approved
LN000070,56,Male,Not Graduate,Business,8.0,0,92236,0.0,92236,329630,120,657.0,0,0,0.3573,425704.0,0.7743,Semiurban,Approved
LN000071,34,Male,Graduate,Business,13.0,2,154916,33605.0,188521,619519,36,765.0,2,22745,2.5431,847586.0,0.7309,Semiurban,Approved
LN000072,51,Male,Graduate,Self-Employed,2.0,0,55381,0.0,55381,185080,60,625.0,2,9736,2.7778,283465.0,0.6529,Semiurban,Rejected
LN000073,35,Male,Graduate,Salaried,16.0,0,53026,0.0,53026,110221,180,631.0,2,13399,3.1707,217646.0,0.5064,Semiurban,Rejected
LN000074,28,Male,Graduate,Salaried,3.0,0,33985,17109.0,51094,147791,360,597.0,3,16385,3.9445,155497.0,0.9504,Urban,Rejected
LN000075,34,Female,Graduate,Salaried,14.0,2,24572,21940.0,46512,164570,60,578.0,1,3912,1.7167,317165.0,0.5189,Semiurban,Rejected
LN000076,43,Female,Graduate,Salaried,5.0,1,32816,0.0,32816,105606,180,642.0,2,7103,2.8117,209598.0,0.5039,Rural,Rejected
LN000077,60,Male,Graduate,Salaried,4.0,1,36321,0.0,36321,108953,36,701.0,4,38522,13.7269,139272.0,0.7823,Urban,Approved
LN000078,41,Female,Graduate,Unemployed,0.0,2,5000,0.0,5000,12490,180,622.0,0,0,0.1656,20501.0,0.6092,Urban,Rejected
LN000079,36,Female,Graduate,Self-Employed,4.0,2,17755,0.0,17755,49551,240,684.0,2,14826,10.1596,73505.0,0.6741,Rural,Rejected
LN000080,38,Female,Graduate,Business,0.0,0,127918,0.0,127918,494919,240,573.0,0,0,0.1934,1179482.0,0.4196,Urban,Approved
LN000081,44,Female,Not Graduate,Self-Employed,10.0,3,40034,0.0,40034,196339,180,525.0,1,10916,3.5987,321321.0,0.611,Semiurban,Rejected
LN000082,46,Male,Graduate,Salaried,17.0,1,35775,0.0,35775,165862,60,724.0,1,4148,2.3185,109734.0,1.5115,Urban,Rejected
LN000083,45,Female,Not Graduate,Salaried,2.0,1,31392,0.0,31392,134844,120,773.0,2,8387,3.6353,226551.0,0.5952,Rural,Approved
LN000084,61,Male,Graduate,Unemployed,0.0,2,5000,0.0,5000,19986,240,696.0,2,7368,17.8824,20117.0,0.9935,Semiurban,Rejected
