Applicant_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Employment_Length,Age,Loan_Status
A10000,Male,Yes,1,Graduate,No,49714,26464,124343,360,1,Urban,18,23,1
A10001,Female,Yes,0,Graduate,Yes,68109,25717,196526,240,1,Semiurban,26,53,1
A10002,Female,Yes,0,Not Graduate,Yes,59379,6000,201542,480,1,Urban,6,51,0
A10003,Male,Yes,1,Graduate,No,37929,2594,138494,300,1,Semiurban,17,32,1
A10004,Male,Yes,0,Graduate,No,76806,17295,322818,360,1,Urban,26,23,1
A10005,Male,No,1,Graduate,No,26962,22047,293126,180,1,Urban,20,25,0
A10006,Male,Yes,3,Not Graduate,No,54135,4220,227532,300,1,Urban,9,31,0
A10007,Female,Yes,0,Graduate,No,37657,18017,166407,360,0,Rural,8,26,0
A10008,Female,No,1,Graduate,No,27691,425,276498,300,1,Rural,11,28,0
A10009,Female,No,0,Graduate,No,32987,25608,241114,240,1,Rural,16,59,1
A10010,Male,No,0,Graduate,No,49261,9287,165036,240,0,Semiurban,7,38,0
A10011,Female,No,0,Not Graduate,No,55245,13359,277717,300,1,Rural,23,41,1
A10012,Female,No,0,Not Graduate,No,65883,23643,229538,180,1,Urban,12,52,1
A10013,Male,Yes,0,Graduate,No,72140,22712,67144,240,1,Rural,23,23,1
A10014,Male,Yes,0,Graduate,No,54165,19739,120621,360,1,Semiurban,20,32,1
A10015,Male,Yes,2,Not Graduate,No,43352,25294,93648,240,0,Semiurban,27,44,0
A10016,Male,Yes,1,Graduate,No,65585,19090,282496,240,1,Semiurban,8,39,1
A10017,Male,Yes,3,Graduate,No,40780,29475,143828,180,1,Semiurban,4,43,1
A10018,Male,Yes,1,Graduate,Yes,26065,0,250173,480,1,Urban,13,27,0
A10019,Male,Yes,0,Graduate,No,64085,14404,373749,180,1,Semiurban,11,44,0
A10020,Female,Yes,0,Not Graduate,Yes,69858,13979,263530,300,1,Rural,21,40,0
A10021,Male,Yes,0,Graduate,No,37672,12810,166482,360,1,Semiurban,8,50,1
A10022,Male,No,0,Graduate,No,79412,19974,140505,480,1,Semiurban,5,47,1
A10023,Male,Yes,1,Graduate,No,58745,17139,175492,360,1,Urban,28,47,1
A10024,Male,No,0,Not Graduate,No,56509,23248,117779,240,0,Rural,25,21,0
A10025,Female,Yes,0,Graduate,No,42249,3161,108441,180,1,Rural,11,27,1
A10026,Male,No,0,Graduate,No,65259,37922,135602,300,1,Urban,21,37,1
A10027,Male,No,0,Not Graduate,No,27134,11090,242576,240,0,Semiurban,15,51,0
A10028,Male,Yes,0,Graduate,No,44903,17867,158331,360,1,Semiurban,1,57,1
A10029,Male,Yes,0,Graduate,No,39002,12937,181977,360,1,Rural,11,33,1
A10030,Female,Yes,1,Graduate,No,30366,15810,237534,480,1,Semiurban,28,31,1
A10031,Male,No,0,Graduate,No,62944,9650,258178,360,0,Semiurban,20,48,0
A10032,Male,No,1,Not Graduate,Yes,55117,17058,50000,300,1,Urban,1,28,1
A10033,Female,No,0,Graduate,No,62070,20800,62133,360,1,Semiurban,7,35,1
A10034,Female,Yes,0,Not Graduate,No,45825,0,169117,240,1,Urban,3,38,1
A10035,Female,Yes,2,Graduate,No,64776,11714,110814,300,1,Rural,2,24,1
A10036,Male,No,1,Not Graduate,No,51157,11334,268362,480,1,Semiurban,24,35,1
A10037,Male,Yes,0,Graduate,No,42917,38210,162892,360,1,Urban,16,27,1
A10038,Female,Yes,2,Graduate,No,40416,23600,343808,180,0,Rural,16,44,0
A10039,Male,Yes,0,Graduate,No,20256,30000,160966,360,1,Semiurban,8,35,1
A10040,Male,No,0,Graduate,No,67465,20581,224689,240,0,Rural,4,23,0
A10041,Male,Yes,1,Graduate,No,65763,15823,146635,300,1,Rural,27,43,1
A10042,Male,Yes,1,Graduate,No,93910,18641,239007,360,0,Rural,17,27,0
A10043,Female,Yes,0,Graduate,No,44980,26229,240768,240,1,Rural,13,22,0
A10044,Male,No,0,Graduate,Yes,39998,32501,271020,300,0,Urban,22,53,0
A10045,Female,Yes,2,Graduate,No,24478,18020,189257,240,1,Urban,15,38,1
A10046,Male,Yes,0,Graduate,No,64399,8770,301627,360,1,Rural,1,55,0
A10047,Male,Yes,0,Not Graduate,No,60947,24245,223970,240,0,Semiurban,7,59,0
A10048,Male,No,0,Graduate,No,73276,6468,148547,360,1,Rural,20,35,1
A10049,Male,No,2,Not Graduate,No,36250,18903,149119,300,1,Semiurban,28,21,1
A10050,Female,No,0,Graduate,No,60745,21813,258305,360,1,Rural,0,46,1
A10051,Female,Yes,1,Not Graduate,Yes,42169,13919,301140,240,1,Urban,10,53,0
A10052,Female,No,1,Graduate,No,70155,5951,110235,360,1,Urban,13,25,1
A10053,Female,Yes,0,Not Graduate,Yes,58043,10454,260078,360,1,Rural,15,45,0
A10054,Male,Yes,1,Graduate,No,26664,11835,81091,180,1,Semiurban,24,44,1
A10055,Female,Yes,3,Graduate,No,48032,4464,150601,480,0,Urban,4,52,0
A10056,Male,Yes,0,Not Graduate,No,20778,11139,239178,360,0,Rural,29,29,0
A10057,Male,No,0,Graduate,Yes,32550,480,132198,300,1,Rural,7,45,0
A10058,Male,Yes,2,Graduate,No,33458,20911,317260,300,0,Semiurban,9,57,0
A10059,Male,Yes,1,Not Graduate,No,40385,18333,248686,300,1,Semiurban,27,46,1
A10060,Male,Yes,0,Graduate,No,46059,17656,105478,360,1,Rural,16,21,1
A10061,Male,Yes,1,Graduate,No,52468,11141,252437,300,1,Urban,18,34,1
A10062,Female,Yes,1,Graduate,Yes,51718,12479,94370,360,1,Semiurban,23,50,1
A10063,Male,Yes,1,Graduate,No,49642,6710,200295,180,1,Rural,16,48,1
A10064,Male,Yes,2,Not Graduate,No,54985,20051,270185,300,0,Semiurban,26,59,0
A10065,Male,Yes,0,Graduate,No,31253,1421,256743,360,1,Semiurban,0,47,0
A10066,Male,Yes,0,Graduate,No,51097,15837,193091,360,0,Rural,21,29,0
A10067,Female,No,1,Graduate,No,71516,8663,172456,360,1,Urban,26,52,1
A10068,Male,Yes,0,Graduate,No,47512,32573,107375,240,1,Semiurban,9,54,1
A10069,Female,No,1,Not Graduate,No,57420,20267,214607,240,1,Urban,29,24,1
A10070,Female,No,0,Graduate,No,56024,14995,264359,300,1,Urban,14,38,1
A10071,Male,No,0,Graduate,No,62934,3939,365178,300,0,Rural,27,36,0
A10072,Male,Yes,0,Graduate,No,54307,1364,163509,360,1,Rural,15,26,1
A10073,Female,Yes,1,Not Graduate,No,62680,19958,267733,180,1,Urban,5,50,1
A10074,Female,No,1,Graduate,No,57609,32987,261158,360,1,Semiurban,1,31,0
A10075,Female,Yes,0,Graduate,No,59859,19089,161880,240,1,Urban,0,59,1
A10076,Female,Yes,0,Graduate,No,56631,16752,257677,360,0,Urban,7,23,0
A10077,Male,Yes,0,Graduate,No,34898,16897,134691,300,1,Urban,3,57,1
A10078,Male,Yes,1,Graduate,Yes,32438,16030,220561,360,1,Urban,10,22,0
A10079,Male,No,0,Graduate,No,44701,17033,183096,300,0,Semiurban,9,27,0
A10080,Female,Yes,1,Not Graduate,No,73274,8148,235483,300,1,Rural,19,28,1
A10081,Female,Yes,0,Not Graduate,No,47425,5264,241853,360,1,Semiurban,22,51,1
A10082,Male,Yes,0,Not Graduate,No,54643,16092,157702,360,0,Rural,8,21,0
A10083,Male,Yes,1,Graduate,No,20490,29934,199226,240,0,Urban,11,31,0
A10084,Male,Yes,0,Graduate,No,52906,22770,189709,300,1,Semiurban,13,58,1
A10085,Male,Yes,0,Graduate,No,51288,2665,112843,360,1,Rural,4,25,1
A10086,Female,No,0,Graduate,No,10000,12448,170417,360,1,Urban,2,51,0
A10087,Female,Yes,0,Graduate,Yes,54363,22289,153676,360,1,Rural,10,39,1
A10088,Female,No,0,Not Graduate,No,25235,30168,109831,360,0,Urban,27,54,0
A10089,Male,Yes,0,Graduate,No,39119,32912,135694,180,1,Rural,9,31,1
A10090,Male,Yes,1,Not Graduate,No,64917,12892,179339,360,1,Rural,11,31,1
A10091,Female,Yes,1,Graduate,No,52361,23242,204401,300,0,Semiurban,3,57,0
A10092,Female,Yes,1,Graduate,No,43273,17492,100505,300,1,Rural,0,28,1
A10093,Male,No,0,Graduate,No,41988,13802,296023,360,1,Semiurban,7,46,0
A10094,Female,No,1,Not Graduate,Yes,43730,15623,249067,240,1,Urban,6,26,0
A10095,Male,Yes,1,Not Graduate,No,52413,15746,193183,300,0,Urban,15,52,0
A10096,Male,Yes,0,Graduate,No,31990,26751,102486,480,0,Semiurban,19,49,0
A10097,Male,No,1,Graduate,Yes,66866,955,182996,240,0,Semiurban,2,39,0
A10098,Male,Yes,2,Not Graduate,No,32786,19681,178139,180,1,Rural,24,36,0
A10099,Male,Yes,0,Graduate,No,24094,30394,113561,360,1,Semiurban,27,44,1
A10100,Male,No,2,Graduate,No,64867,29317,107059,300,1,Semiurban,27,49,1
A10101,Female,Yes,0,Graduate,No,43446,20689,261316,360,1,Semiurban,10,39,1
A10102,Male,No,0,Graduate,No,51056,7429,174080,300,1,Urban,6,24,1
A10103,Male,Yes,0,Graduate,No,59819,22767,270845,240,1,Urban,15,45,1
A10104,Female,No,1,Not Graduate,No,39208,28249,198946,240,1,Semiurban,16,51,1
A10105,Male,Yes,0,Graduate,No,52057,9848,260134,240,1,Semiurban,20,21,1
A10106,Male,Yes,2,Graduate,No,59723,18576,257466,240,1,Semiurban,27,37,1
A10107,Female,Yes,2,Graduate,No,74648,12947,237332,240,1,Rural,28,22,1
A10108,Male,Yes,1,Graduate,No,42334,8860,294609,360,0,Rural,10,52,0
A10109,Male,Yes,0,Graduate,No,43055,11848,208026,360,1,Urban,17,59,1
A10110,Male,Yes,2,Graduate,No,58449,16285,80421,300,1,Rural,25,28,1
A10111,Male,Yes,2,Graduate,Yes,53128,5817,93182,300,1,Rural,11,39,1
A10112,Female,No,0,Graduate,No,47944,4178,147776,480,1,Urban,19,55,1
A10113,Female,Yes,1,Graduate,No,73890,6103,259355,240,0,Rural,10,49,0
A10114,Female,Yes,1,Graduate,No,24763,18279,167995,360,1,Urban,0,23,1
A10115,Female,Yes,1,Graduate,No,28673,341,216424,360,1,Semiurban,27,22,1
A10116,Female,Yes,0,Graduate,No,24936,0,242854,360,1,Semiurban,22,52,1
A10117,Male,Yes,0,Graduate,No,68025,28725,213152,360,1,Semiurban,13,35,1
A10118,Female,Yes,0,Graduate,Yes,57720,4867,50000,300,1,Rural,17,41,1
A10119,Male,No,0,Graduate,No,29438,13059,105046,300,1,Semiurban,2,33,0
A10120,Female,Yes,1,Graduate,No,48154,24222,341273,360,0,Urban,13,42,0
A10121,Female,Yes,3,Graduate,Yes,49584,617,226084,360,1,Semiurban,6,51,0
A10122,Male,No,3,Graduate,No,16861,605,50000,360,0,Urban,24,33,0
A10123,Male,No,1,Graduate,No,52824,8674,205577,360,1,Rural,2,42,0
A10124,Male,Yes,1,Not Graduate,No,32336,24613,344210,360,1,Urban,29,28,0
A10125,Male,No,0,Not Graduate,No,60600,14783,221903,300,1,Urban,7,51,0
A10126,Female,Yes,1,Not Graduate,Yes,32795,14919,203551,360,1,Urban,19,47,0
A10127,Female,No,0,Graduate,No,53287,12045,53731,300,1,Rural,25,45,1
A10128,Male,Yes,0,Not Graduate,No,69418,20621,178329,180,1,Rural,6,57,1
A10129,Male,Yes,1,Graduate,No,64618,29318,68542,360,1,Urban,10,38,1
A10130,Male,No,0,Graduate,No,57607,44840,102203,360,0,Semiurban,1,52,0
A10131,Male,Yes,0,Graduate,No,48779,13519,83905,240,1,Semiurban,6,57,1
A10132,Male,Yes,2,Not Graduate,No,27498,30259,339155,180,1,Rural,27,39,0
A10133,Male,Yes,0,Graduate,No,43413,24992,258242,240,1,Urban,6,26,0
A10134,Female,Yes,0,Not Graduate,No,46609,17669,312078,360,1,Urban,2,25,0
A10135,Male,Yes,0,Graduate,No,45532,0,94122,180,0,Urban,24,46,0
A10136,Male,Yes,0,Not Graduate,No,26997,11221,215261,300,1,Semiurban,19,39,0
A10137,Female,Yes,0,Not Graduate,No,56516,11617,119352,240,0,Semiurban,9,27,0
A10138,Male,Yes,1,Not Graduate,Yes,32286,18588,127910,300,1,Rural,27,49,0
A10139,Female,Yes,0,Graduate,No,73191,13025,237555,360,1,Semiurban,22,26,1
